ownername,car_no,dealername,ownercity,model,price_in_usd
Chris Williams,BMW1789,Hendrick Automotive,Los Angeles,BMW Z4,90340.68
Alex Miller,BMW6959,CarMax,Los Angeles,BMW X1,61060.06
Katie Brown,BMW8338,Lithia Motors,New York,BMW 7 Series,73732.9
Jane Smith,BMW9384,Penske Automotive,Chicago,BMW X3,92420.72
Emily Johnson,BMW7554,Hendrick Automotive,San Diego,BMW X7,89762.13
Emily Jones,BMW3296,Lithia Motors,San Jose,BMW X5,87576.58
Jane Johnson,BMW8808,CarMax,Chicago,BMW X5,39663.92
Sarah Taylor,BMW7459,Hendrick Automotive,Dallas,BMW 7 Series,68763.63
Emily Moore,BMW1862,CarMax,Phoenix,BMW X3,98851.95
Alex Moore,BMW9401,Sonic Automotive,Philadelphia,BMW 3 Series,39436.11
Sarah Davis,BMW2644,Penske Automotive,Dallas,BMW X1,39954.15
Michael Davis,BMW6765,Sonic Automotive,Los Angeles,BMW X7,47300.28
Katie Davis,BMW4080,CarMax,San Jose,BMW Z4,46842.49
Alex Brown,BMW7960,AutoNation,San Antonio,BMW X5,42727.84
Laura Brown,BMW6133,Sonic Automotive,Los Angeles,BMW X7,74960.55
Alex Wilson,BMW8406,Sonic Automotive,Los Angeles,BMW Z4,79141.58
Katie Wilson,BMW4365,Hendrick Automotive,Dallas,BMW X5,86342.71
Chris Brown,BMW5085,Group 1 Automotive,Chicago,BMW X3,94393.35
John Moore,BMW4625,AutoNation,Dallas,BMW X5,38341.38
Katie Smith,BMW8102,Group 1 Automotive,Dallas,BMW Z4,77187.77
Katie Williams,BMW2414,Lithia Motors,New York,BMW X5,55679.37
Jane Davis,BMW2707,CarMax,San Diego,BMW X3,87045.26
David Moore,BMW3669,CarMax,Dallas,BMW X1,51546.31
John Wilson,BMW2449,CarMax,Los Angeles,BMW Z4,65469.02
Michael Taylor,BMW1686,AutoNation,Chicago,BMW X3,77739.35
John Smith,BMW3116,Penske Automotive,Philadelphia,BMW 3 Series,36169.98
Jane Johnson,BMW7340,Penske Automotive,San Antonio,BMW 3 Series,41977.43
Michael Miller,BMW9938,CarMax,Philadelphia,BMW X5,95203.43
Katie Brown,BMW6039,Group 1 Automotive,Dallas,BMW Z4,59153.54
Emily Wilson,BMW1250,AutoNation,Phoenix,BMW X3,51668.89
Emily Williams,BMW1134,Sonic Automotive,San Jose,BMW X7,73679.67
Alex Johnson,BMW5886,CarMax,Chicago,BMW 3 Series,42624.2
Laura Jones,BMW6047,Penske Automotive,Dallas,BMW X3,38409.9
David Johnson,BMW1918,Hendrick Automotive,Phoenix,BMW X5,65094.63
David Brown,BMW1902,Lithia Motors,San Diego,BMW X3,81569.66
Jane Miller,BMW5986,Group 1 Automotive,San Antonio,BMW 5 Series,97343.36
John Smith,BMW9286,Group 1 Automotive,Houston,BMW 3 Series,64675.65
John Taylor,BMW6628,CarMax,San Antonio,BMW 5 Series,79578.09
David Miller,BMW7310,Lithia Motors,Houston,BMW X1,73423.66
Emily Miller,BMW5970,Hendrick Automotive,San Antonio,BMW X7,61841.51
Sarah Brown,BMW7688,AutoNation,Chicago,BMW X3,66640.94
David Davis,BMW6552,Penske Automotive,Dallas,BMW 3 Series,87527.7
John Miller,BMW5478,Sonic Automotive,New York,BMW X3,91079.33
Emily Williams,BMW6290,Penske Automotive,Chicago,BMW X3,35357.93
Alex Williams,BMW3673,Hendrick Automotive,Philadelphia,BMW X5,89022.35
David Brown,BMW1539,Sonic Automotive,Los Angeles,BMW X5,55333.94
Emily Jones,BMW4577,Sonic Automotive,San Jose,BMW X1,42780.2
Michael Brown,BMW2877,Penske Automotive,Los Angeles,BMW 3 Series,76686.15
Katie Davis,BMW9401,Group 1 Automotive,Houston,BMW 3 Series,55168.35
Katie Taylor,BMW2486,Hendrick Automotive,Houston,BMW X3,69561.38
Katie Moore,BMW2190,Sonic Automotive,San Diego,BMW 3 Series,43173.58
Sarah Davis,BMW9896,Hendrick Automotive,Philadelphia,BMW 3 Series,41470.7
Emily Jones,BMW3430,Sonic Automotive,Houston,BMW X5,80281.71
Sarah Taylor,BMW5543,Hendrick Automotive,Chicago,BMW 7 Series,64481.17
Katie Johnson,BMW3246,Hendrick Automotive,Los Angeles,BMW 3 Series,58253.4
Alex Moore,BMW8437,Penske Automotive,Dallas,BMW X5,44977.34
Michael Williams,BMW9980,Penske Automotive,New York,BMW 5 Series,86189.34
Laura Brown,BMW7928,Lithia Motors,Houston,BMW Z4,54204.3
John Davis,BMW6722,Sonic Automotive,San Jose,BMW X3,79178.77
Sarah Taylor,BMW2180,Penske Automotive,San Jose,BMW 7 Series,45100.13
John Miller,BMW2113,Group 1 Automotive,Phoenix,BMW X7,81054.97
Katie Wilson,BMW9424,Group 1 Automotive,Houston,BMW 5 Series,78250.99
Katie Moore,BMW2182,AutoNation,Phoenix,BMW 3 Series,93835.32
Emily Moore,BMW9523,Penske Automotive,San Diego,BMW X1,78347.89
Katie Wilson,BMW2729,Penske Automotive,Phoenix,BMW X3,75980.73
Michael Moore,BMW7683,Group 1 Automotive,San Diego,BMW X7,79302.88
David Williams,BMW3011,Lithia Motors,Los Angeles,BMW X5,60321.1
Jane Smith,BMW3576,CarMax,San Antonio,BMW X3,43019.18
Emily Johnson,BMW7137,Group 1 Automotive,San Jose,BMW 3 Series,94988.76
Chris Smith,BMW9642,Hendrick Automotive,Houston,BMW 7 Series,55004.07
John Brown,BMW5873,Lithia Motors,Phoenix,BMW 3 Series,53507.47
Michael Jones,BMW4338,Penske Automotive,San Antonio,BMW X5,92605.28
David Taylor,BMW6809,CarMax,Chicago,BMW X3,77908.41
Emily Jones,BMW4165,AutoNation,Chicago,BMW 5 Series,38310.76
Laura Jones,BMW6209,Hendrick Automotive,Phoenix,BMW 5 Series,75847.75
Emily Wilson,BMW5562,AutoNation,Phoenix,BMW Z4,86194.66
Michael Jones,BMW4977,AutoNation,New York,BMW 7 Series,97318.42
Emily Wilson,BMW1592,Penske Automotive,San Antonio,BMW 7 Series,52426.65
Jane Moore,BMW5454,Group 1 Automotive,San Jose,BMW X5,40351.3
Emily Smith,BMW5940,AutoNation,Dallas,BMW 5 Series,93318.23
Alex Smith,BMW2640,CarMax,Dallas,BMW Z4,38218.4
Emily Taylor,BMW4746,CarMax,Phoenix,BMW X3,56565.71
David Smith,BMW9015,CarMax,Houston,BMW Z4,87267.89
Emily Jones,BMW7212,Sonic Automotive,Phoenix,BMW X5,73475.19
Laura Taylor,BMW7189,AutoNation,San Jose,BMW X1,57115.1
Michael Taylor,BMW4061,Hendrick Automotive,Philadelphia,BMW 5 Series,51695.03
Emily Johnson,BMW2424,AutoNation,San Jose,BMW X1,88391.9
John Williams,BMW1590,Hendrick Automotive,Philadelphia,BMW Z4,57539.19
Sarah Williams,BMW5736,Sonic Automotive,San Antonio,BMW X1,60627.14
Chris Davis,BMW8621,AutoNation,Los Angeles,BMW Z4,87476.85
Alex Jones,BMW1726,Group 1 Automotive,Chicago,BMW 7 Series,68825.19
Katie Brown,BMW6466,Lithia Motors,Phoenix,BMW 7 Series,49244.79
Emily Smith,BMW3095,AutoNation,Philadelphia,BMW 7 Series,49325.67
Alex Williams,BMW9521,AutoNation,San Diego,BMW 5 Series,40415.4
Chris Taylor,BMW2524,Hendrick Automotive,San Jose,BMW X7,98488.46
Sarah Moore,BMW9141,Group 1 Automotive,San Jose,BMW Z4,98545.01
Katie Miller,BMW1852,Hendrick Automotive,San Jose,BMW X5,79009.99
Sarah Brown,BMW8101,Sonic Automotive,San Jose,BMW 3 Series,44474.01
Laura Brown,BMW7702,Sonic Automotive,Philadelphia,BMW X3,50850.02
Chris Smith,BMW5574,AutoNation,Houston,BMW X3,77990.09
Alex Johnson,BMW3578,CarMax,Phoenix,BMW Z4,66553.02
Sarah Jones,BMW9473,Sonic Automotive,San Antonio,BMW Z4,90631.54
Sarah Williams,BMW1587,Lithia Motors,New York,BMW X7,93305.9
Chris Davis,BMW8534,Hendrick Automotive,San Diego,BMW X5,86715.18
Alex Miller,BMW7562,CarMax,San Antonio,BMW X7,51444.25
John Davis,BMW3822,Penske Automotive,San Antonio,BMW 7 Series,95125.36
John Davis,BMW6130,Sonic Automotive,San Jose,BMW Z4,49092.43
Katie Smith,BMW1918,Lithia Motors,Houston,BMW X1,61789.74
Emily Moore,BMW2749,Lithia Motors,San Antonio,BMW X1,68451.91
Katie Jones,BMW6530,AutoNation,New York,BMW X3,35375.85
Laura Smith,BMW7819,Lithia Motors,Houston,BMW 5 Series,99120.81
Sarah Smith,BMW8282,Hendrick Automotive,Philadelphia,BMW X7,81860.46
Alex Wilson,BMW4488,AutoNation,Houston,BMW 7 Series,81419.37
David Smith,BMW1301,Penske Automotive,San Antonio,BMW Z4,97545.87
Alex Moore,BMW4011,AutoNation,San Diego,BMW X5,98032.35
Emily Davis,BMW7426,CarMax,San Jose,BMW X7,52704.83
John Moore,BMW9092,Sonic Automotive,San Antonio,BMW X7,83456.68
Alex Wilson,BMW6992,Hendrick Automotive,San Diego,BMW Z4,91605.48
Chris Moore,BMW4979,Sonic Automotive,Chicago,BMW X1,48058.83
John Davis,BMW5154,Lithia Motors,New York,BMW X1,54838.27
Sarah Jones,BMW1556,CarMax,Los Angeles,BMW X3,80696.48
Laura Taylor,BMW2091,Lithia Motors,San Jose,BMW 3 Series,99543.16
Emily Brown,BMW6534,Penske Automotive,Dallas,BMW X5,40409.28
Alex Williams,BMW8252,Sonic Automotive,San Antonio,BMW 3 Series,38472.1
Michael Miller,BMW7973,Sonic Automotive,Philadelphia,BMW 3 Series,93857.17
Alex Smith,BMW3649,AutoNation,Dallas,BMW X5,92114.12
Sarah Wilson,BMW9048,Lithia Motors,Los Angeles,BMW X1,36414.94
Michael Miller,BMW7712,Group 1 Automotive,San Diego,BMW Z4,46358.36
Chris Johnson,BMW1921,AutoNation,New York,BMW Z4,35789.69
David Williams,BMW1773,Sonic Automotive,Philadelphia,BMW X1,93254.13
John Williams,BMW4871,CarMax,Los Angeles,BMW X3,79413.99
Laura Davis,BMW4655,AutoNation,Houston,BMW X7,83290.19
Laura Davis,BMW8204,CarMax,Los Angeles,BMW X7,86394.75
David Wilson,BMW2477,CarMax,Los Angeles,BMW X3,60526.46
John Wilson,BMW7138,AutoNation,San Diego,BMW 5 Series,68558.03
Katie Taylor,BMW6314,Penske Automotive,San Antonio,BMW 3 Series,53604.58
Chris Jones,BMW2145,CarMax,Philadelphia,BMW Z4,47861.52
Sarah Smith,BMW5466,Lithia Motors,Phoenix,BMW X7,35061.33
David Taylor,BMW5995,AutoNation,San Antonio,BMW X3,61389.68
Katie Williams,BMW7746,Group 1 Automotive,Houston,BMW Z4,70540.26
Jane Williams,BMW6419,AutoNation,Houston,BMW X7,99989.5
David Johnson,BMW2847,Group 1 Automotive,Chicago,BMW X7,44232.98
Alex Brown,BMW7805,Sonic Automotive,Philadelphia,BMW 7 Series,78283.54
Laura Brown,BMW9990,Group 1 Automotive,Philadelphia,BMW X1,74843.28
Alex Davis,BMW2016,Sonic Automotive,Dallas,BMW 7 Series,48705.4
Jane Williams,BMW6077,AutoNation,Dallas,BMW X7,41915.05
Alex Wilson,BMW8006,Lithia Motors,Dallas,BMW 3 Series,54808.45
David Williams,BMW4633,Penske Automotive,Houston,BMW X5,41617.41
Sarah Brown,BMW1530,AutoNation,San Jose,BMW X5,93185.15
Chris Williams,BMW4918,Hendrick Automotive,Houston,BMW 7 Series,54025.22
Michael Brown,BMW9848,CarMax,Dallas,BMW Z4,57721.74
Emily Brown,BMW1262,Lithia Motors,San Diego,BMW 7 Series,49140.86
Laura Davis,BMW1913,Lithia Motors,Houston,BMW 5 Series,65530.49
Sarah Smith,BMW4976,Lithia Motors,Phoenix,BMW 5 Series,86262.81
John Brown,BMW1859,CarMax,Dallas,BMW 5 Series,50665.64
Katie Jones,BMW2002,Lithia Motors,New York,BMW 3 Series,46219.8
Laura Johnson,BMW2247,CarMax,Dallas,BMW Z4,35154.47
Alex Moore,BMW3178,Lithia Motors,New York,BMW X5,85957.76
David Brown,BMW5062,AutoNation,Dallas,BMW X5,48764.61
Katie Wilson,BMW4881,AutoNation,San Diego,BMW 5 Series,70532.84
Sarah Brown,BMW2461,CarMax,San Antonio,BMW 7 Series,72856.94
Chris Johnson,BMW5982,Lithia Motors,Los Angeles,BMW 5 Series,66548.22
Laura Brown,BMW4194,Penske Automotive,Los Angeles,BMW X1,72109.12
Sarah Johnson,BMW7359,Sonic Automotive,San Antonio,BMW X5,84358.04
Laura Jones,BMW2953,AutoNation,San Diego,BMW X7,76564.92
Chris Johnson,BMW4488,Hendrick Automotive,Philadelphia,BMW X1,38890.09
Michael Brown,BMW5682,Hendrick Automotive,San Antonio,BMW 7 Series,52485.62
Sarah Johnson,BMW7902,Hendrick Automotive,New York,BMW X5,57778.13
Laura Miller,BMW1490,Penske Automotive,San Jose,BMW Z4,54411.64
Michael Moore,BMW1449,Sonic Automotive,San Diego,BMW X3,53375.62
Katie Williams,BMW6768,Lithia Motors,San Diego,BMW 3 Series,83998.32
David Smith,BMW4792,AutoNation,San Jose,BMW X5,60380.0
Katie Brown,BMW7551,AutoNation,San Diego,BMW 5 Series,51173.26
Chris Smith,BMW5919,AutoNation,Phoenix,BMW Z4,45761.41
Emily Jones,BMW3184,Sonic Automotive,San Diego,BMW X1,73400.05
Michael Williams,BMW7684,CarMax,San Diego,BMW X5,52547.17
Chris Miller,BMW9193,Group 1 Automotive,San Jose,BMW X1,84749.85
Jane Johnson,BMW4351,Lithia Motors,Los Angeles,BMW X1,63476.91
John Miller,BMW3883,Lithia Motors,Los Angeles,BMW Z4,61967.69
Katie Moore,BMW6366,Lithia Motors,San Diego,BMW 3 Series,68429.51
Chris Taylor,BMW6889,CarMax,Los Angeles,BMW X5,71105.95
Alex Davis,BMW7536,Hendrick Automotive,San Jose,BMW X5,45527.09
Laura Davis,BMW7911,CarMax,Phoenix,BMW X7,71688.62
David Jones,BMW8406,Group 1 Automotive,Dallas,BMW X1,66453.28
Jane Davis,BMW8479,Hendrick Automotive,Houston,BMW Z4,48175.91
Emily Davis,BMW9628,Group 1 Automotive,San Jose,BMW X7,43762.46
Sarah Davis,BMW3884,Group 1 Automotive,San Jose,BMW X1,77949.76
Michael Miller,BMW7039,Hendrick Automotive,San Jose,BMW X3,51478.61
Michael Smith,BMW1433,Sonic Automotive,New York,BMW 3 Series,45604.56
Katie Brown,BMW1953,Penske Automotive,Los Angeles,BMW X7,75640.64
Emily Williams,BMW1461,Penske Automotive,San Antonio,BMW Z4,36673.33
David Davis,BMW9098,Hendrick Automotive,Chicago,BMW X7,88584.26
Emily Taylor,BMW3295,Hendrick Automotive,Chicago,BMW X1,59498.99
Laura Johnson,BMW3940,Penske Automotive,New York,BMW Z4,38230.24
Laura Davis,BMW2332,Sonic Automotive,San Diego,BMW X7,41154.55
Jane Wilson,BMW8983,Sonic Automotive,Los Angeles,BMW 5 Series,53354.21
Sarah Moore,BMW7266,Hendrick Automotive,Chicago,BMW 5 Series,56254.99
John Moore,BMW9018,Penske Automotive,Chicago,BMW X5,74089.61
David Wilson,BMW9742,Hendrick Automotive,San Diego,BMW Z4,89251.89
Sarah Miller,BMW5285,Penske Automotive,San Jose,BMW 3 Series,49413.44
Michael Wilson,BMW3030,AutoNation,San Jose,BMW X3,79564.51
Sarah Johnson,BMW3479,Lithia Motors,Dallas,BMW X7,96902.57
David Moore,BMW6204,CarMax,Dallas,BMW X3,70646.32
Michael Miller,BMW2454,Lithia Motors,Philadelphia,BMW 5 Series,93818.64
Michael Jones,BMW2342,CarMax,Phoenix,BMW 7 Series,58902.86
John Wilson,BMW5282,AutoNation,Chicago,BMW X1,39308.05
Alex Jones,BMW6405,Group 1 Automotive,San Jose,BMW X3,65435.78
Katie Taylor,BMW2241,Penske Automotive,Philadelphia,BMW X1,92415.6
Jane Brown,BMW7759,Penske Automotive,Dallas,BMW 5 Series,58853.43
Chris Taylor,BMW3279,Lithia Motors,New York,BMW Z4,61930.92
Alex Moore,BMW6067,Hendrick Automotive,Chicago,BMW 5 Series,82243.22
Chris Wilson,BMW1690,Lithia Motors,Houston,BMW X7,92243.76
Chris Moore,BMW4588,Sonic Automotive,Dallas,BMW X3,36105.33
John Johnson,BMW7786,Group 1 Automotive,Philadelphia,BMW 5 Series,98967.27
Jane Williams,BMW5785,AutoNation,Phoenix,BMW 7 Series,79310.83
Laura Taylor,BMW3084,AutoNation,New York,BMW X1,61878.81
Sarah Wilson,BMW8156,CarMax,Chicago,BMW X1,98752.34
Chris Smith,BMW2178,CarMax,Chicago,BMW 7 Series,84577.39
Alex Moore,BMW7718,Lithia Motors,San Antonio,BMW X5,98291.16
Chris Brown,BMW8339,Group 1 Automotive,Houston,BMW 3 Series,96103.57
David Davis,BMW3915,Group 1 Automotive,San Jose,BMW 3 Series,90658.47
Michael Williams,BMW4436,Group 1 Automotive,Los Angeles,BMW X3,82716.65
Katie Wilson,BMW7056,CarMax,New York,BMW Z4,94699.85
Michael Smith,BMW5453,Penske Automotive,Phoenix,BMW 5 Series,93977.73
Katie Davis,BMW5742,Penske Automotive,Phoenix,BMW X5,44644.24
Chris Miller,BMW4754,Group 1 Automotive,Philadelphia,BMW 3 Series,74339.18
Michael Moore,BMW6368,Lithia Motors,Houston,BMW 3 Series,53508.88
Emily Taylor,BMW8562,Sonic Automotive,San Jose,BMW X5,68992.41
Sarah Jones,BMW2729,Sonic Automotive,San Jose,BMW 7 Series,37720.65
Laura Miller,BMW6917,Group 1 Automotive,Los Angeles,BMW 5 Series,40927.64
John Taylor,BMW5659,AutoNation,Los Angeles,BMW 7 Series,40790.15
Chris Moore,BMW8012,Penske Automotive,Chicago,BMW Z4,52165.6
Sarah Jones,BMW7550,Group 1 Automotive,San Jose,BMW X1,63545.2
David Brown,BMW9064,Sonic Automotive,Dallas,BMW X5,53268.8
Sarah Smith,BMW4004,CarMax,Philadelphia,BMW X1,46650.72
Laura Miller,BMW4001,CarMax,Philadelphia,BMW X3,58923.65
Sarah Davis,BMW1714,CarMax,Los Angeles,BMW 7 Series,49698.95
Chris Brown,BMW5820,AutoNation,Phoenix,BMW 5 Series,44824.05
Emily Moore,BMW8893,Group 1 Automotive,Chicago,BMW 7 Series,47769.85
David Smith,BMW4035,Hendrick Automotive,Los Angeles,BMW X1,40497.41
Jane Johnson,BMW5452,AutoNation,San Diego,BMW X3,90812.89
David Jones,BMW6642,Penske Automotive,San Diego,BMW X1,82148.18
David Smith,BMW4709,Sonic Automotive,Philadelphia,BMW Z4,69552.99
Sarah Williams,BMW6381,AutoNation,San Antonio,BMW Z4,47478.63
Katie Davis,BMW3725,Group 1 Automotive,San Jose,BMW X1,79492.54
Katie Taylor,BMW4158,Penske Automotive,Dallas,BMW X5,98984.64
Chris Taylor,BMW1093,AutoNation,Dallas,BMW Z4,79350.72
Alex Johnson,BMW9933,Sonic Automotive,Philadelphia,BMW X3,43016.7
Michael Wilson,BMW5751,AutoNation,Los Angeles,BMW 7 Series,70867.31
John Taylor,BMW7933,Penske Automotive,San Diego,BMW X3,42795.53
Michael Johnson,BMW1336,Group 1 Automotive,Chicago,BMW Z4,98946.51
Sarah Johnson,BMW7891,Hendrick Automotive,New York,BMW 7 Series,61645.8
Michael Davis,BMW3217,Hendrick Automotive,San Diego,BMW X1,58532.6
Alex Miller,BMW7367,Penske Automotive,Houston,BMW 5 Series,80683.75
Laura Wilson,BMW4097,CarMax,San Jose,BMW 7 Series,82916.03
John Moore,BMW9315,Group 1 Automotive,New York,BMW X7,43811.25
Alex Smith,BMW7142,Hendrick Automotive,Phoenix,BMW 7 Series,60035.45
Michael Smith,BMW4017,Penske Automotive,Los Angeles,BMW X5,80392.33
Alex Wilson,BMW2410,Lithia Motors,Los Angeles,BMW X1,43094.55
John Taylor,BMW8148,AutoNation,Phoenix,BMW X1,70081.82
Michael Taylor,BMW6746,Hendrick Automotive,Los Angeles,BMW X3,78842.15
Katie Smith,BMW7448,CarMax,San Jose,BMW X5,89592.07
Michael Davis,BMW8399,Sonic Automotive,San Antonio,BMW 5 Series,81007.81
Michael Williams,BMW2998,Sonic Automotive,Houston,BMW X1,54927.79
Alex Wilson,BMW4534,Penske Automotive,San Jose,BMW 7 Series,75437.21
Jane Wilson,BMW8392,CarMax,San Antonio,BMW Z4,72768.5
Alex Wilson,BMW9565,Sonic Automotive,San Jose,BMW X3,67132.95
Sarah Taylor,BMW2398,Group 1 Automotive,San Diego,BMW 3 Series,87034.26
Alex Taylor,BMW2962,CarMax,Houston,BMW X3,64594.71
Sarah Taylor,BMW7790,Penske Automotive,Philadelphia,BMW X3,57982.96
Jane Brown,BMW6939,AutoNation,New York,BMW X3,69160.71
Alex Wilson,BMW8422,Sonic Automotive,Los Angeles,BMW X7,62954.74
Katie Davis,BMW2427,Hendrick Automotive,San Diego,BMW 3 Series,92755.44
Jane Brown,BMW1460,Hendrick Automotive,Chicago,BMW 5 Series,97751.77
Emily Johnson,BMW9908,CarMax,Los Angeles,BMW X7,88637.23
Sarah Davis,BMW3395,Lithia Motors,New York,BMW 7 Series,38188.28
Sarah Jones,BMW2058,Hendrick Automotive,Chicago,BMW Z4,87793.94
Laura Miller,BMW5924,Lithia Motors,Dallas,BMW 5 Series,65245.93
Emily Williams,BMW1340,Group 1 Automotive,Houston,BMW X7,49564.46
David Taylor,BMW8593,CarMax,Houston,BMW 5 Series,85853.22
David Williams,BMW9129,AutoNation,New York,BMW X5,96570.15
Sarah Brown,BMW1104,Lithia Motors,Philadelphia,BMW 5 Series,67512.34
Michael Johnson,BMW1243,Lithia Motors,Dallas,BMW X7,40642.65
Sarah Williams,BMW9586,CarMax,Phoenix,BMW 5 Series,70269.91
John Moore,BMW7289,CarMax,San Diego,BMW Z4,37740.56
Sarah Taylor,BMW3566,AutoNation,Los Angeles,BMW X1,60863.95
Jane Miller,BMW3797,CarMax,New York,BMW 7 Series,53532.27
Emily Wilson,BMW3466,CarMax,New York,BMW 7 Series,43510.57
David Miller,BMW2708,Penske Automotive,Dallas,BMW 7 Series,84086.27
Michael Brown,BMW1879,Lithia Motors,Phoenix,BMW 7 Series,42216.19
Laura Moore,BMW2429,Group 1 Automotive,San Antonio,BMW X5,84163.36
David Jones,BMW6802,Group 1 Automotive,Phoenix,BMW X5,52524.98
Sarah Williams,BMW9669,AutoNation,Phoenix,BMW X7,63202.58
Jane Moore,BMW4293,AutoNation,Chicago,BMW X1,95691.59
Sarah Davis,BMW6010,Penske Automotive,Dallas,BMW 7 Series,48402.3
Alex Johnson,BMW2827,CarMax,New York,BMW X5,64804.88
Sarah Davis,BMW4132,AutoNation,Los Angeles,BMW 3 Series,85746.97
Katie Jones,BMW1605,Lithia Motors,Phoenix,BMW 5 Series,61187.07
Laura Wilson,BMW8511,Sonic Automotive,San Antonio,BMW 3 Series,99965.78
Katie Williams,BMW7419,Hendrick Automotive,San Antonio,BMW Z4,77150.54
Katie Smith,BMW3831,Hendrick Automotive,Los Angeles,BMW X5,61394.96
David Johnson,BMW8405,Lithia Motors,Philadelphia,BMW X3,59169.69
John Johnson,BMW6092,Sonic Automotive,San Jose,BMW Z4,98502.29
Sarah Brown,BMW7917,Group 1 Automotive,Phoenix,BMW 7 Series,78302.08
Sarah Moore,BMW1646,Lithia Motors,Los Angeles,BMW X7,96123.23
John Brown,BMW1941,Lithia Motors,San Jose,BMW X1,62394.55
Alex Brown,BMW9431,Penske Automotive,San Jose,BMW X5,37145.87
Sarah Moore,BMW4234,Sonic Automotive,San Jose,BMW X1,69003.51
David Johnson,BMW5201,Sonic Automotive,Dallas,BMW X1,59724.65
John Miller,BMW9050,AutoNation,San Diego,BMW Z4,39062.58
Laura Wilson,BMW6188,Group 1 Automotive,San Antonio,BMW 3 Series,45143.0
Alex Moore,BMW1774,Hendrick Automotive,San Antonio,BMW 3 Series,96436.3
Katie Jones,BMW7209,Group 1 Automotive,Chicago,BMW 7 Series,74839.55
Laura Wilson,BMW2824,Penske Automotive,Los Angeles,BMW X7,50451.82
Laura Williams,BMW1138,Hendrick Automotive,Philadelphia,BMW X7,70053.63
Emily Moore,BMW6983,Group 1 Automotive,Houston,BMW X1,56938.24
Alex Taylor,BMW5464,CarMax,Dallas,BMW X5,51365.02
Sarah Moore,BMW8715,CarMax,San Antonio,BMW 3 Series,54167.13
Katie Davis,BMW5801,Lithia Motors,Phoenix,BMW 5 Series,96125.44
Alex Johnson,BMW3551,Penske Automotive,Phoenix,BMW 7 Series,56082.71
Emily Taylor,BMW7952,Sonic Automotive,Chicago,BMW 5 Series,83913.03
Laura Brown,BMW1949,Lithia Motors,Phoenix,BMW 7 Series,80590.65
Jane Davis,BMW9468,CarMax,Chicago,BMW 5 Series,69279.91
David Williams,BMW5457,Group 1 Automotive,Houston,BMW X3,41977.0
Michael Davis,BMW8593,Sonic Automotive,Philadelphia,BMW Z4,61546.56
Emily Davis,BMW8447,Penske Automotive,San Antonio,BMW 7 Series,80977.47
Jane Johnson,BMW2370,Penske Automotive,Los Angeles,BMW Z4,69593.9
Emily Wilson,BMW6314,Sonic Automotive,Los Angeles,BMW 5 Series,89050.37
Sarah Moore,BMW8893,Group 1 Automotive,New York,BMW 3 Series,78876.28
Katie Davis,BMW5603,AutoNation,Houston,BMW X5,67668.23
David Wilson,BMW5170,Lithia Motors,New York,BMW Z4,82682.81
Sarah Moore,BMW5877,Hendrick Automotive,San Diego,BMW 5 Series,92248.75
Sarah Moore,BMW5031,Lithia Motors,San Diego,BMW Z4,94376.05
David Williams,BMW1462,Group 1 Automotive,Houston,BMW X7,93173.26
Sarah Miller,BMW1329,CarMax,Dallas,BMW X5,41443.26
Alex Davis,BMW8217,Sonic Automotive,San Antonio,BMW X3,46317.69
Jane Wilson,BMW8722,Sonic Automotive,Houston,BMW 3 Series,69827.45
Emily Wilson,BMW7783,Group 1 Automotive,Dallas,BMW X3,63257.46
Alex Brown,BMW5966,CarMax,Los Angeles,BMW 5 Series,36616.64
Laura Miller,BMW9968,Sonic Automotive,Dallas,BMW X1,71316.37
Alex Johnson,BMW3127,Penske Automotive,Chicago,BMW 3 Series,44920.76
Laura Johnson,BMW1183,Sonic Automotive,San Antonio,BMW X7,56932.49
Michael Moore,BMW9568,Sonic Automotive,Chicago,BMW X1,50692.91
Michael Davis,BMW5166,Group 1 Automotive,San Diego,BMW X5,94992.4
Sarah Williams,BMW4419,Penske Automotive,Dallas,BMW X5,51611.85
John Smith,BMW6086,CarMax,San Antonio,BMW Z4,59547.71
David Moore,BMW7289,AutoNation,Los Angeles,BMW Z4,97238.95
